Grantmaker Name,Contact,Street Address 1,Street Address 2,City,State,ZIP Code,Country,Telephone,Fax,E-mail,URL,Total Assets,Total Giving,Amount Funded,Grant Count,RFPs
Connie Frank Foundation,,Co Gfm 11812 San Vicente Blvd 20,,LOS ANGELES,CA,90049,United States,3108260909,,,,15991970,644346,1980785,83,0
Lillian Lincoln Foundation,,240 Robin Rd,,Hillsborough,CA,94010-6634,United States,650-343-0996,,,https://lillianlincolnfoundation.org/,78969618,2753200,1980399,69,0
Revive & Restore,"Marmee Manack, Operations Manager; Ryan Phelan, Executive Director",1505 Bridgeway Ste 203,,Sausalito,CA,94965-1968,United States,415-289-1000,,info@reviverestore.org,http://reviverestore.org/,15553754,6744285,1979254,10,0
The Tony Robbins Foundation,,5230 Carroll Canyon Rd Ste 306,,San Diego,CA,92121-1781,United States,858-444-3080,,foundation@thetonyrobbinsfoundation.org,http://WWW.ANTHONYROBBINSFOUNDATION.ORG ,19268680,2518730,1977570,16,0
The Sanderson Family Foundation,,PO Box 1368,,Rancho Santa Fe,CA,92067-1368,United States,858-558-9200,,,,,1886709,1972177,12,0
The Braddock Family Foundation,,1350 Treat Blvd Ste 430,,Walnut Creek,CA,94597-2284,United States,9254332335,,,http://www.braddockfoundation.org,4828648,291000,1970759,111,0
North County Education Foundation Inc,,355 E Grand Ave,,Escondido,CA,92025-3313,United States,760-520-6696,,sryan@classicalacademy.com,https://ncef4kids.com/ ,1699928,432478,1969864,23,0
Sanford and Phyllis Beim Family Foundation,,17337 Palora St,,Encino,CA,91316-3902,United States,818-995-6677,,,,447594,266810,1969000,176,0
M & I Pfister Foundation,,5580 La Jolla Blvd # 527,,La Jolla,CA,92037-7651,United States,858-551-8785,,,,22199367,547800,1965209,28,0
Kanoff Family Foundation Co Jefferies & Company,,11100 Santa Monica Blvd Fl 12,,Los Angeles,CA,90025-3384,United States,310-575-5225,,,,18644418,601994,1964658,112,0
Nancy and Geoffrey Stack Family Foundation,,3501 Jamboree Rd,,Newport Beach,CA,92660-2939,United States,818-999-6967,,jstack@sares-regis.com,,,1584500,1963500,71,0
El Sol Academy Foundation,"Priyanjali Shah, Director Of Development",328 W Halesworth St,,Santa Ana,CA,92701-3414,United States,714-543-0023,,pshah@elsolfoundation.org,http://ELSOLFOUNDATION.ORG,635071,126125,1963316,2,0
The Bravo Foundation,,PO Box 460909,,San Francisco,CA,94146-0909,United States,619-889-1244,,,http://WWW.BRAVOFDN.ORG,13165071,622500,1960307,195,0
Cheeryble Foundation,,Co Singer 6345 Balboa Blvd 375,,ENCINO,CA,91316,United States,818-774-1000,,,,3184903,458459,1960234,113,0
Matt & Gretchen Dinapoli Family Foundation,,223 W Main St Ste B,,Los Gatos,CA,95030-6842,United States,408-471-1680,,,,9866489,487344,1958587,139,0
Women in Recovery Inc,,2940 W Carson St Unit 214,,Torrance,CA,90503-6084,United States,310-821-6401,,,http://www.womeninrecovery.com,2327581,52032,1957758,51,0
Eugene & Marilyn Stein Family Foundation,,2125 Edgecourt Dr,,Hillsborough,CA,94010-6311,United States,818-952-1021,,,,30814787,8177000,1956200,141,0
Audrey & Sydney Irmas Charitable Foundation,,12301 Wilshire Blvd Ste 418,,Los Angeles,CA,90025-1023,United States,310-476-0261,(310) 734-1647,shoshana.himmel@gmail.com,,15500584,884700,1955105,158,0
Fineberg Foundation,,11812 San Vicente Blvd Ste 500,,Los Angeles,CA,90049-5081,United States,3104714300,,,,29515637,1002300,1952704,14,0
Barbara and Fred Kort Foundation,,PO Box 642987,,Los Angeles,CA,90064-8353,United States,310-720-8451,,,,35414042,1253500,1952500,10,0
March Conservation Fund,,1016 Lincoln Blvd,,San Francisco,CA,94129-1717,United States,415-290-5779,,,http://www.marchconservationfund.org,91979708,3847640,1949469,78,0
Moxie Foundation,,9191 Towne Centre Dr Ste,,San Diego,CA,92122-1227,United States,858-255-8525,(858) 255-8521,info@moxiefoundation.org,http://WWW.MOXIEFOUNDATION.ORG,,752644,1947744,20,0
Amerman Family Foundation,,33137 Via Alvaro,,Temecula,CA,92592-9585,United States,424-263-5652,,,,116956,215000,1947300,33,0
Suggs Family Foundation,,754 Calle Laredo,,Thousand Oaks,CA,91360-2512,United States,805-499-4465,,sidsuggs@hotmail.com,,17580275,805620,1945482,70,0
Charles Pankow Foundation,,199 S Los Robles Ave Ste 300,,Pasadena,CA,91101-4625,United States,626-304-1190,,info@pankowfoundation.org,http://WWW.PANKOWFOUNDATION.ORG,33842077,1132433,1944758,63,0
Bakersfield Kern Regional Homeless Collaborative,,2101 Oak St,,Bakersfield,CA,93301-3012,United States,661-899-5427,,anna.laven@bkrhc.org,http://BKRHC.ORG,6340754,6089394,1940435,21,0
Jhm Charitable Foundation,,1300 Highland Ave Ste 215,,Manhattan Beach,CA,90266-4796,United States,310-550-9911,,,,334153331,6027431,1937132,58,0
The Zande Foundation,,609 Mountain Dr,,Beverly Hills,CA,90210-2928,United States,310-473-7575,,,,,738150,1935000,6,0
Center for Advancing Women in Technology,,838 N Hillview Dr,,Milpitas,CA,95035-4544,United States,408-942-9689,,,https://www.cawit.org/,1344398,270856,1933698,22,0
Hrh Foundation,,936 Olive St,,Menlo Park,CA,94025-5751,United States,650-600-8134,,,,50116772,3645000,1929000,67,0
Teach a Man to Fish Foundation,,17595 Harvard Ave Ste C511,,Irvine,CA,92614-8516,United States,949-501-7227,,,,128584721,5306279,1928366,57,0
Community Hospital Oe San Bernardino Foundation,"Darryl Vandenbosch, Former Officer; Joe M Mawad Md, Director; Joseph Daniel Murphy, Vp Philanthropy; June Collison, Director; Rebecca Mcdaniel, Assistant Secretary",1805 Medical Center Dr,,San Bernardino,CA,92411-1217,United States,908-887-6333,909-881-4531,,http://WWW.SUPPORTSANBERNARDINO.ORG,8667485,816060,1928074,4,0
